# Region type : patch outlet
# Faces       : 248
# Area        : 3.740941e+01
# Scale factor: 1.000000e+00
# Time        	sum(phi)
0.100061      	-3.542043e+01
0.100122      	-3.544338e+01
0.100183      	-3.546586e+01
0.100244      	-3.548817e+01
0.100305      	-3.551021e+01
0.100365      	-3.553192e+01
0.100424      	-3.555326e+01
0.100483      	-3.557423e+01
0.10054       	-3.559488e+01
0.100597      	-3.561520e+01
0.100654      	-3.563533e+01
0.10071       	-3.565525e+01
0.100766      	-3.567518e+01
0.100822      	-3.569498e+01
0.100877      	-3.571461e+01
0.100932      	-3.573418e+01
0.100987      	-3.575364e+01
0.101042      	-3.577308e+01
0.101097      	-3.579246e+01
0.101152      	-3.581200e+01
0.101207      	-3.583158e+01
0.101262      	-3.585113e+01
0.101317      	-3.587074e+01
0.101373      	-3.589040e+01
0.101428      	-3.591001e+01
0.101484      	-3.592960e+01
0.101539      	-3.594915e+01
0.101594      	-3.596869e+01
0.10165       	-3.598846e+01
0.101707      	-3.600836e+01
0.101763      	-3.602833e+01
0.10182       	-3.604835e+01
0.101877      	-3.606841e+01
0.101934      	-3.608850e+01
0.101991      	-3.610860e+01
0.102048      	-3.612867e+01
0.102104      	-3.614863e+01
0.102161      	-3.616851e+01
0.102217      	-3.618839e+01
0.102274      	-3.620821e+01
0.10233       	-3.622800e+01
0.102386      	-3.624773e+01
0.102443      	-3.626743e+01
0.102499      	-3.628730e+01
0.102556      	-3.630729e+01
0.102613      	-3.632734e+01
0.10267       	-3.634741e+01
0.102726      	-3.636747e+01
0.102783      	-3.638751e+01
0.10284       	-3.640751e+01
0.102897      	-3.642742e+01
0.102953      	-3.644718e+01
0.103009      	-3.646668e+01
0.103064      	-3.648589e+01
0.103118      	-3.650482e+01
0.103172      	-3.652383e+01
0.103226      	-3.654280e+01
0.10328       	-3.656170e+01
0.103333      	-3.658040e+01
0.103385      	-3.659877e+01
0.103437      	-3.661679e+01
0.103488      	-3.663447e+01
0.103538      	-3.665230e+01
0.103589      	-3.667018e+01
0.10364       	-3.668797e+01
0.10369       	-3.670547e+01
0.103739      	-3.672268e+01
0.103787      	-3.673964e+01
0.103835      	-3.675641e+01
0.103882      	-3.677304e+01
0.10393       	-3.678956e+01
0.103976      	-3.680599e+01
0.104023      	-3.682238e+01
0.104069      	-3.683875e+01
0.104116      	-3.685510e+01
0.104162      	-3.687146e+01
0.104208      	-3.688781e+01
0.104255      	-3.690433e+01
0.104302      	-3.692099e+01
0.104349      	-3.693775e+01
0.104397      	-3.695459e+01
0.104445      	-3.697150e+01
0.104493      	-3.698845e+01
0.104541      	-3.700544e+01
0.104589      	-3.702244e+01
0.104637      	-3.703942e+01
0.104685      	-3.705637e+01
0.104733      	-3.707327e+01
0.104781      	-3.709011e+01
0.104828      	-3.710690e+01
0.104876      	-3.712366e+01
0.104924      	-3.714037e+01
0.104971      	-3.715707e+01
0.105019      	-3.717394e+01
0.105068      	-3.719098e+01
0.105116      	-3.720814e+01
0.105165      	-3.722540e+01
0.105215      	-3.724274e+01
0.105264      	-3.726012e+01
0.105314      	-3.727754e+01
0.105363      	-3.729499e+01
0.105413      	-3.731246e+01
0.105463      	-3.732995e+01
0.105513      	-3.734744e+01
0.105563      	-3.736495e+01
0.105613      	-3.738251e+01
0.105663      	-3.740012e+01
0.105714      	-3.741784e+01
0.105765      	-3.743563e+01
0.105816      	-3.745350e+01
0.105867      	-3.747146e+01
0.105918      	-3.748955e+01
0.105971      	-3.750795e+01
0.106024      	-3.752662e+01
0.106078      	-3.754554e+01
0.106132      	-3.756468e+01
0.106187      	-3.758403e+01
0.106243      	-3.760358e+01
0.106299      	-3.762331e+01
0.106355      	-3.764322e+01
0.106412      	-3.766331e+01
0.10647       	-3.768356e+01
0.106528      	-3.770397e+01
0.106587      	-3.772452e+01
0.106646      	-3.774522e+01
0.106705      	-3.776603e+01
0.106764      	-3.778693e+01
0.106825      	-3.780812e+01
0.106885      	-3.782950e+01
0.106947      	-3.785103e+01
0.107008      	-3.787267e+01
0.10707       	-3.789437e+01
0.107132      	-3.791611e+01
0.107194      	-3.793788e+01
0.107255      	-3.795966e+01
0.107317      	-3.798131e+01
0.107378      	-3.800282e+01
0.107439      	-3.802419e+01
0.1075        	-3.804537e+01
0.10756       	-3.806642e+01
0.107619      	-3.808730e+01
0.107678      	-3.810806e+01
0.107738      	-3.812888e+01
0.107797      	-3.814976e+01
0.107856      	-3.817068e+01
0.107915      	-3.819161e+01
0.107974      	-3.821252e+01
0.108033      	-3.823342e+01
0.108092      	-3.825431e+01
0.108151      	-3.827517e+01
0.10821       	-3.829604e+01
0.108269      	-3.831688e+01
0.108327      	-3.833768e+01
0.108386      	-3.835859e+01
0.108457      	-3.838466e+01
0.108542      	-3.841656e+01
0.108643      	-3.845516e+01
0.108765      	-3.850147e+01
0.108912      	-3.855662e+01
0.109087      	-3.862198e+01
0.109293      	-3.869721e+01
0.109529      	-3.878174e+01
0.109794      	-3.887539e+01
0.110089      	-3.897857e+01
0.110399      	-3.908655e+01
0.110721      	-3.919802e+01
0.11104       	-3.930882e+01
0.111355      	-3.941851e+01
0.111653      	-3.952217e+01
0.111928      	-3.961812e+01
0.112202      	-3.971447e+01
0.112466      	-3.980787e+01
0.112724      	-3.989936e+01
