# Region type : patch outlet
# Faces       : 248
# Area        : 3.740941e+01
# Scale factor: 1.000000e+00
# Time        	sum(phi)
0.100074      	-3.542654e+01
0.100164      	-3.546217e+01
0.100272      	-3.550476e+01
0.100402      	-3.555527e+01
0.100558      	-3.561474e+01
0.100742      	-3.568342e+01
0.100955      	-3.576040e+01
0.101194      	-3.584505e+01
0.101462      	-3.593813e+01
0.10174       	-3.603341e+01
0.102024      	-3.613012e+01
0.102301      	-3.622449e+01
0.102574      	-3.631831e+01
0.102846      	-3.641218e+01
0.10312       	-3.650735e+01
0.103398      	-3.660494e+01
0.103661      	-3.669750e+01
0.103906      	-3.678345e+01
0.10415       	-3.687001e+01
0.104387      	-3.695428e+01
0.104623      	-3.703837e+01
0.104874      	-3.712855e+01
0.105133      	-3.722160e+01
0.105398      	-3.731670e+01
0.105677      	-3.741697e+01
0.105957      	-3.751685e+01
0.106234      	-3.761470e+01
0.106515      	-3.771406e+01
0.106786      	-3.780939e+01
0.107048      	-3.790147e+01
0.107313      	-3.799447e+01
0.107569      	-3.808413e+01
0.107823      	-3.817296e+01
0.108078      	-3.826238e+01
0.108337      	-3.835360e+01
0.108604      	-3.844754e+01
0.108886      	-3.854680e+01
0.109166      	-3.864477e+01
0.109442      	-3.874100e+01
0.109718      	-3.883722e+01
0.110005      	-3.893778e+01
0.110292      	-3.903794e+01
0.11058       	-3.913844e+01
0.110863      	-3.923720e+01
0.111142      	-3.933423e+01
0.111429      	-3.943467e+01
0.111709      	-3.953243e+01
0.111975      	-3.962489e+01
0.112244      	-3.971894e+01
0.112504      	-3.980975e+01
0.112751      	-3.989553e+01
0.113003      	-3.998407e+01
0.113254      	-4.007242e+01
0.113506      	-4.016099e+01
0.113763      	-4.025163e+01
0.114033      	-4.034776e+01
0.11431       	-4.044541e+01
0.114595      	-4.054625e+01
0.114885      	-4.064828e+01
0.115186      	-4.075437e+01
0.115478      	-4.085624e+01
0.115757      	-4.095300e+01
0.116028      	-4.104691e+01
0.116302      	-4.114276e+01
0.116567      	-4.123519e+01
0.116824      	-4.132436e+01
0.117086      	-4.141646e+01
0.117348      	-4.150849e+01
0.117611      	-4.160091e+01
0.117879      	-4.169514e+01
0.118163      	-4.179573e+01
0.118451      	-4.189743e+01
0.118743      	-4.199984e+01
0.119037      	-4.210290e+01
0.119345      	-4.221108e+01
0.119651      	-4.231817e+01
0.119943      	-4.241931e+01
0.120229      	-4.251872e+01
0.120493      	-4.260996e+01
0.120745      	-4.269707e+01
0.120999      	-4.278584e+01
0.121267      	-4.288090e+01
0.12154       	-4.297792e+01
0.121815      	-4.307503e+01
0.122101      	-4.317649e+01
0.122388      	-4.327782e+01
0.122672      	-4.337758e+01
0.122964      	-4.348012e+01
0.123253      	-4.358166e+01
0.123535      	-4.368054e+01
0.123811      	-4.377698e+01
0.124094      	-4.387710e+01
0.124374      	-4.397566e+01
0.124642      	-4.406930e+01
0.124905      	-4.416144e+01
0.125181      	-4.425981e+01
0.125461      	-4.435890e+01
0.125739      	-4.445729e+01
0.126017      	-4.455579e+01
0.126299      	-4.465577e+01
0.126592      	-4.475984e+01
0.126882      	-4.486245e+01
0.127171      	-4.496446e+01
0.127466      	-4.506898e+01
0.127754      	-4.517052e+01
0.12803       	-4.526716e+01
0.128299      	-4.536189e+01
0.128567      	-4.545645e+01
0.128849      	-4.555729e+01
0.129127      	-4.565604e+01
0.129401      	-4.575336e+01
0.129657      	-4.584294e+01
0.129901      	-4.592836e+01
0.130152      	-4.601764e+01
0.130401      	-4.610617e+01
0.130645      	-4.619265e+01
0.130892      	-4.628074e+01
0.131154      	-4.637506e+01
0.131426      	-4.647269e+01
0.131706      	-4.657320e+01
0.131996      	-4.667653e+01
0.132301      	-4.678558e+01
0.132611      	-4.689515e+01
0.132919      	-4.700366e+01
0.133224      	-4.711084e+01
0.133553      	-4.722802e+01
0.133878      	-4.734274e+01
0.134187      	-4.745093e+01
0.134481      	-4.755354e+01
0.134769      	-4.765500e+01
0.135032      	-4.774635e+01
0.135286      	-4.783530e+01
0.135523      	-4.791821e+01
0.135761      	-4.800268e+01
0.136013      	-4.809363e+01
0.136273      	-4.818759e+01
0.136539      	-4.828347e+01
0.136811      	-4.838068e+01
0.137099      	-4.848400e+01
0.137393      	-4.858889e+01
0.137691      	-4.869421e+01
0.13799       	-4.879966e+01
0.138294      	-4.890683e+01
0.138608      	-4.901778e+01
0.138911      	-4.912408e+01
0.139212      	-4.922927e+01
0.139527      	-4.934107e+01
0.139833      	-4.944835e+01
0.140126      	-4.955089e+01
0.140417      	-4.965286e+01
0.140707      	-4.975510e+01
0.140997      	-4.985804e+01
0.141292      	-4.996270e+01
0.141582      	-5.006528e+01
0.141875      	-5.016883e+01
0.142141      	-5.026154e+01
0.142399      	-5.035184e+01
0.14264       	-5.043602e+01
0.142883      	-5.052150e+01
0.143129      	-5.060931e+01
0.143385      	-5.070142e+01
0.143658      	-5.080019e+01
0.143939      	-5.090065e+01
0.144223      	-5.100168e+01
0.144516      	-5.110559e+01
0.144804      	-5.120717e+01
0.145084      	-5.130507e+01
0.14537       	-5.140547e+01
0.145662      	-5.150879e+01
0.145969      	-5.161797e+01
0.146269      	-5.172388e+01
0.146553      	-5.182279e+01
0.14682       	-5.191523e+01
0.147084      	-5.200801e+01
0.147331      	-5.209413e+01
0.147571      	-5.217816e+01
0.147821      	-5.226750e+01
0.148075      	-5.235831e+01
0.148328      	-5.244890e+01
0.148599      	-5.254639e+01
0.148877      	-5.264618e+01
0.149162      	-5.274767e+01
0.149455      	-5.285180e+01
0.149752      	-5.295700e+01
0.15006       	-5.306645e+01
0.150363      	-5.317291e+01
