# Region type : patch outlet
# Faces       : 248
# Area        : 3.740941e+01
# Scale factor: 1.000000e+00
# Time        	sum(phi)
1.2e-05       	-3.081850e-02
2.64e-05      	-3.595432e-02
4.368e-05     	-4.208204e-02
6.4416e-05    	-4.940182e-02
8.92992e-05   	-5.814955e-02
0.000119159   	-6.860319e-02
0.000154991   	-8.109033e-02
0.000197989   	-9.599690e-02
0.000249587   	-1.137780e-01
0.000311504   	-1.349720e-01
0.000385805   	-1.602217e-01
0.000474966   	-1.903079e-01
0.000581959   	-2.262045e-01
0.000710351   	-2.691562e-01
0.000864421   	-3.207680e-01
0.00104931    	-3.830758e-01
0.00127117    	-4.585690e-01
0.0015374     	-5.501475e-01
0.00183763    	-6.543235e-01
0.00217299    	-7.714832e-01
0.00235937    	-8.355732e-01
0.00252344    	-8.921335e-01
0.00267362    	-9.440874e-01
0.00283744    	-1.001421e+00
0.00300159    	-1.059108e+00
0.00315624    	-1.113437e+00
0.00329319    	-1.161328e+00
0.00341488    	-1.203725e+00
0.00352742    	-1.242940e+00
0.00364762    	-1.285310e+00
0.00377031    	-1.328751e+00
0.00389021    	-1.371183e+00
0.00400468    	-1.411588e+00
0.0041135     	-1.449913e+00
0.00421801    	-1.486690e+00
0.00431883    	-1.522169e+00
0.00441809    	-1.557172e+00
0.00451629    	-1.591866e+00
0.00461409    	-1.626487e+00
0.00471197    	-1.661202e+00
0.0048101     	-1.696051e+00
0.00490866    	-1.731092e+00
0.00500789    	-1.766400e+00
0.00510876    	-1.802350e+00
0.00521119    	-1.838878e+00
0.00531549    	-1.876096e+00
0.00542665    	-1.915972e+00
0.00553709    	-1.955394e+00
0.00564726    	-1.994604e+00
0.00575579    	-2.033089e+00
0.00586184    	-2.070567e+00
0.00596607    	-2.107346e+00
0.00606877    	-2.143571e+00
0.00617033    	-2.179400e+00
0.00627102    	-2.214952e+00
0.00637109    	-2.250320e+00
0.00646939    	-2.285027e+00
0.00656337    	-2.318067e+00
0.00665229    	-2.349185e+00
0.00673597    	-2.378355e+00
0.00681822    	-2.407154e+00
0.00689543    	-2.434071e+00
0.00696717    	-2.458959e+00
0.00703709    	-2.483340e+00
0.00710256    	-2.506088e+00
0.00716815    	-2.529098e+00
