# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
0.100061      	p_rgh         	6.518141e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	2.149604e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.100122      	p_rgh         	6.496454e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	2.075744e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.100183      	p_rgh         	6.484363e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	2.005182e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.100244      	p_rgh         	6.481764e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.939084e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.100305      	p_rgh         	6.482716e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.873928e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.100365      	p_rgh         	6.486151e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.807415e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.100424      	p_rgh         	6.490890e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.787143e+05	(3.155279e+00 1.176652e+00 3.288889e+00)	2
0.100483      	p_rgh         	6.495614e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.771101e+05	(3.155279e+00 1.176652e+00 3.288889e+00)	2
0.10054       	p_rgh         	6.498818e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.754283e+05	(3.155279e+00 1.176652e+00 3.288889e+00)	2
0.100597      	p_rgh         	6.499117e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.737498e+05	(3.155279e+00 1.176652e+00 3.288889e+00)	2
0.100654      	p_rgh         	6.495748e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.848630e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.10071       	p_rgh         	6.494502e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.820976e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.100766      	p_rgh         	6.488131e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.791106e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.100822      	p_rgh         	6.495593e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.760545e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.100877      	p_rgh         	6.508744e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.746020e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.100932      	p_rgh         	6.523469e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.728772e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.100987      	p_rgh         	6.538720e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.709354e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.101042      	p_rgh         	6.553811e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.687688e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.101097      	p_rgh         	6.567400e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.664778e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.101152      	p_rgh         	6.578860e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.640587e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.101207      	p_rgh         	6.587490e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.639141e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.101262      	p_rgh         	6.593537e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.628042e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.101317      	p_rgh         	6.600619e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.760440e+05	(1.894008e+00 2.919514e+00 2.790733e+00)	2
0.101373      	p_rgh         	6.617169e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.755530e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.101428      	p_rgh         	6.638635e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.749934e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.101484      	p_rgh         	6.661642e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.744916e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.101539      	p_rgh         	6.685634e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.740083e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.101594      	p_rgh         	6.710212e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.782396e+05	(2.461821e+00 2.454601e+00 2.793052e+00)	2
0.10165       	p_rgh         	6.735824e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	2.449199e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.101707      	p_rgh         	6.761231e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	2.418307e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.101763      	p_rgh         	6.785668e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	2.381093e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.10182       	p_rgh         	6.808199e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	2.338541e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.101877      	p_rgh         	6.828388e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	2.291416e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.101934      	p_rgh         	6.845577e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	2.241670e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.101991      	p_rgh         	6.860298e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	2.202636e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.102048      	p_rgh         	6.872571e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	2.152315e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.102104      	p_rgh         	6.884621e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	2.108816e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.102161      	p_rgh         	6.895938e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	2.061728e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
