# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
0.100074      	p_rgh         	6.517548e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	2.133586e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.100164      	p_rgh         	6.522439e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	2.025168e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.100272      	p_rgh         	6.562377e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.901477e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.100402      	p_rgh         	6.630189e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.798413e+05	(2.461821e+00 -2.454601e+00 2.793052e+00)	2
0.100558      	p_rgh         	6.699682e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.713823e+05	(2.461821e+00 -2.454601e+00 2.793052e+00)	2
0.100742      	p_rgh         	6.880452e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.802884e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.100955      	p_rgh         	7.033159e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.967358e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.101194      	p_rgh         	7.299627e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.892700e+05	(2.920138e+00 1.886509e+00 2.789961e+00)	2
0.101462      	p_rgh         	7.451310e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.682333e+05	(2.920138e+00 1.886509e+00 2.789961e+00)	2
0.10174       	p_rgh         	7.590664e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.529904e+05	(3.155279e+00 1.176652e+00 3.288889e+00)	2
0.102024      	p_rgh         	7.708788e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	2.054440e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.102301      	p_rgh         	7.859214e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.903657e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.102574      	p_rgh         	7.983489e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.777578e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.102846      	p_rgh         	8.194512e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.835941e+05	(3.245149e+00 1.271176e+00 2.309452e+00)	2
0.10312       	p_rgh         	8.426416e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.658249e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.103398      	p_rgh         	8.512019e+04	(3.208378e+00 7.302364e-01 2.785050e+00)	2	2.030421e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.103661      	p_rgh         	8.116932e+04	(3.159848e+00 -1.178610e+00 2.785849e+00)	2	1.824522e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.103906      	p_rgh         	8.315966e+04	(1.183273e+00 -3.164306e+00 2.787024e+00)	2	1.734909e+05	(3.478758e+00 -2.484533e-01 2.789422e+00)	2
0.10415       	p_rgh         	8.471162e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.632126e+05	(3.155279e+00 1.176652e+00 3.288889e+00)	2
0.104387      	p_rgh         	8.163147e+04	(3.159848e+00 -1.178610e+00 2.785849e+00)	2	1.639610e+05	(3.155279e+00 1.176652e+00 3.288889e+00)	2
0.104623      	p_rgh         	8.135609e+04	(2.803908e+00 1.778009e+00 2.285864e+00)	2	1.743095e+05	(3.410283e+00 -7.223881e-01 2.788658e+00)	2
0.104874      	p_rgh         	7.731935e+04	(2.803908e+00 1.778009e+00 2.285864e+00)	2	2.166786e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.105133      	p_rgh         	7.607916e+04	(2.803908e+00 1.778009e+00 2.285864e+00)	2	1.955289e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.105398      	p_rgh         	7.677814e+04	(2.803908e+00 1.778009e+00 2.285864e+00)	2	1.797836e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.105677      	p_rgh         	7.653702e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.765274e+05	(3.155279e+00 1.176652e+00 3.288889e+00)	2
0.105957      	p_rgh         	7.684137e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.757055e+05	(3.155279e+00 1.176652e+00 3.288889e+00)	2
0.106234      	p_rgh         	7.562576e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.744995e+05	(3.155279e+00 1.176652e+00 3.288889e+00)	2
0.106515      	p_rgh         	7.567591e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.767786e+05	(3.155279e+00 1.176652e+00 3.288889e+00)	2
0.106786      	p_rgh         	7.583874e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	2.099856e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.107048      	p_rgh         	7.552608e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.908799e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.107313      	p_rgh         	7.677149e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.818265e+05	(3.155279e+00 1.176652e+00 3.288889e+00)	2
0.107569      	p_rgh         	7.737734e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.800147e+05	(3.155279e+00 1.176652e+00 3.288889e+00)	2
0.107823      	p_rgh         	7.741224e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.768901e+05	(3.155279e+00 1.176652e+00 3.288889e+00)	2
0.108078      	p_rgh         	7.704371e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	2.027007e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.108337      	p_rgh         	7.823560e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.930530e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.108604      	p_rgh         	7.877268e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.887981e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.108886      	p_rgh         	7.865350e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.795661e+05	(3.155279e+00 1.176652e+00 3.288889e+00)	2
0.109166      	p_rgh         	7.767015e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.781304e+05	(3.155279e+00 1.176652e+00 3.288889e+00)	2
0.109442      	p_rgh         	7.846746e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.763828e+05	(3.155279e+00 1.176652e+00 3.288889e+00)	2
0.109718      	p_rgh         	7.846404e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	2.206182e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.110005      	p_rgh         	7.794038e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.966560e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.110292      	p_rgh         	7.676970e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.780484e+05	(3.155279e+00 1.176652e+00 3.288889e+00)	2
0.11058       	p_rgh         	7.797281e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.758483e+05	(3.155279e+00 1.176652e+00 3.288889e+00)	2
0.110863      	p_rgh         	7.830729e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.726889e+05	(3.155279e+00 1.176652e+00 3.288889e+00)	2
0.111142      	p_rgh         	7.812403e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	2.240303e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.111429      	p_rgh         	7.732819e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	2.026075e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.111709      	p_rgh         	7.825386e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.874000e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.111975      	p_rgh         	7.875418e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.774047e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.112244      	p_rgh         	7.969084e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.775393e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.112504      	p_rgh         	8.010976e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.738423e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.112751      	p_rgh         	8.162348e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.714374e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.113003      	p_rgh         	8.187482e+04	(1.183273e+00 -3.164306e+00 2.787024e+00)	2	2.283114e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.113254      	p_rgh         	8.214107e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	2.059236e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.113506      	p_rgh         	8.000372e+04	(2.803908e+00 1.778009e+00 2.285864e+00)	2	1.830059e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.113763      	p_rgh         	7.721114e+04	(2.803908e+00 1.778009e+00 2.285864e+00)	2	1.673142e+05	(3.155279e+00 1.176652e+00 3.288889e+00)	2
0.114033      	p_rgh         	7.860716e+04	(2.803908e+00 1.778009e+00 2.285864e+00)	2	1.684384e+05	(2.920138e+00 1.886509e+00 2.789961e+00)	2
0.11431       	p_rgh         	7.873571e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	2.124401e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.114595      	p_rgh         	7.884594e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.917322e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.114885      	p_rgh         	7.848270e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.735322e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.115186      	p_rgh         	7.852060e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.652388e+05	(3.155279e+00 1.176652e+00 3.288889e+00)	2
0.115478      	p_rgh         	7.898629e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.646452e+05	(3.155279e+00 1.176652e+00 3.288889e+00)	2
0.115757      	p_rgh         	8.072861e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	2.110285e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.116028      	p_rgh         	8.166488e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.902381e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.116302      	p_rgh         	8.172913e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.719665e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.116567      	p_rgh         	8.083283e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.663108e+05	(3.155279e+00 1.176652e+00 3.288889e+00)	2
0.116824      	p_rgh         	8.109015e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	2.070679e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.117086      	p_rgh         	8.094040e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.906799e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.117348      	p_rgh         	8.001361e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.775364e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.117611      	p_rgh         	7.838572e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.688671e+05	(3.155279e+00 1.176652e+00 3.288889e+00)	2
0.117879      	p_rgh         	7.835924e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.710017e+05	(3.478766e+00 2.513971e-01 2.788450e+00)	2
0.118163      	p_rgh         	7.795930e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.663688e+05	(3.155279e+00 1.176652e+00 3.288889e+00)	2
0.118451      	p_rgh         	7.685495e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	2.091467e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.118743      	p_rgh         	7.557891e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.860878e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.119037      	p_rgh         	7.685240e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.729095e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.119345      	p_rgh         	7.719917e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.664697e+05	(3.155279e+00 1.176652e+00 3.288889e+00)	2
0.119651      	p_rgh         	7.721412e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.744249e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.119943      	p_rgh         	7.718976e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.763211e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.120229      	p_rgh         	7.830661e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.749735e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.120493      	p_rgh         	7.852077e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.766999e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.120745      	p_rgh         	7.831277e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.795938e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.120999      	p_rgh         	7.852945e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.786787e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.121267      	p_rgh         	8.040323e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	2.363787e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.12154       	p_rgh         	8.098018e+04	(1.183259e+00 3.164298e+00 2.787026e+00)	2	2.071878e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.121815      	p_rgh         	8.203803e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.857259e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.122101      	p_rgh         	8.053113e+04	(2.803908e+00 1.778009e+00 2.285864e+00)	2	1.747156e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.122388      	p_rgh         	7.791832e+04	(2.803908e+00 1.778009e+00 2.285864e+00)	2	1.655428e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.122672      	p_rgh         	7.976552e+04	(2.803908e+00 1.778009e+00 2.285864e+00)	2	1.629445e+05	(2.920138e+00 1.886509e+00 2.789961e+00)	2
0.122964      	p_rgh         	7.911479e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	2.106678e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.123253      	p_rgh         	7.796979e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.885781e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.123535      	p_rgh         	7.805450e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.748179e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.123811      	p_rgh         	7.762044e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.702734e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.124094      	p_rgh         	7.639199e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.652036e+05	(3.155279e+00 1.176652e+00 3.288889e+00)	2
0.124374      	p_rgh         	7.525588e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.633290e+05	(3.155279e+00 1.176652e+00 3.288889e+00)	2
0.124642      	p_rgh         	7.536323e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	2.099830e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.124905      	p_rgh         	7.555936e+04	(2.807680e+00 1.292083e+00 2.283145e+00)	2	1.901189e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
