# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
1.2e-05       	p_rgh         	1.012609e+05	(3.159860e+00 1.178645e+00 2.785843e+00)	2	1.288190e+05	(-3.236734e+00 1.264985e+00 2.788914e+00)	2
2.64e-05      	p_rgh         	1.011125e+05	(3.159860e+00 1.178645e+00 2.785843e+00)	2	1.290501e+05	(-3.236734e+00 1.264985e+00 2.788914e+00)	2
4.368e-05     	p_rgh         	1.009299e+05	(3.159860e+00 1.178645e+00 2.785843e+00)	2	1.293333e+05	(-3.236734e+00 1.264985e+00 2.788914e+00)	2
6.4416e-05    	p_rgh         	1.007032e+05	(3.159860e+00 1.178645e+00 2.785843e+00)	2	1.297490e+05	(-3.236734e+00 1.264985e+00 2.788914e+00)	2
8.92992e-05   	p_rgh         	1.004177e+05	(3.159860e+00 1.178645e+00 2.785843e+00)	2	1.301654e+05	(-3.236734e+00 1.264985e+00 2.788914e+00)	2
0.000119159   	p_rgh         	1.000494e+05	(3.159860e+00 1.178645e+00 2.785843e+00)	2	1.305225e+05	(-3.236734e+00 1.264985e+00 2.788914e+00)	2
0.000154991   	p_rgh         	9.956118e+04	(3.159860e+00 1.178645e+00 2.785843e+00)	2	1.308937e+05	(-3.236734e+00 1.264985e+00 2.788914e+00)	2
0.000197989   	p_rgh         	9.890238e+04	(3.159860e+00 1.178645e+00 2.785843e+00)	2	1.312859e+05	(-3.236734e+00 1.264985e+00 2.788914e+00)	2
0.000249587   	p_rgh         	9.800706e+04	(3.159860e+00 1.178645e+00 2.785843e+00)	2	1.316924e+05	(-3.236734e+00 1.264985e+00 2.788914e+00)	2
0.000311504   	p_rgh         	9.678882e+04	(3.159860e+00 1.178645e+00 2.785843e+00)	2	1.320963e+05	(-3.236734e+00 1.264985e+00 2.788914e+00)	2
0.000385805   	p_rgh         	9.511605e+04	(3.159860e+00 1.178645e+00 2.785843e+00)	2	1.324699e+05	(-3.236734e+00 1.264985e+00 2.788914e+00)	2
0.000474966   	p_rgh         	9.277355e+04	(3.159860e+00 1.178645e+00 2.785843e+00)	2	1.327743e+05	(-3.236734e+00 1.264985e+00 2.788914e+00)	2
0.000581959   	p_rgh         	8.941239e+04	(3.159860e+00 1.178645e+00 2.785843e+00)	2	1.329572e+05	(-3.236734e+00 -1.264985e+00 2.788914e+00)	2
0.000710351   	p_rgh         	8.454014e+04	(3.159860e+00 1.178645e+00 2.785843e+00)	2	1.329564e+05	(-3.236734e+00 -1.264985e+00 2.788914e+00)	2
0.000864421   	p_rgh         	7.810864e+04	(3.159860e+00 1.178645e+00 2.785843e+00)	2	1.328854e+05	(-2.919487e+00 -1.887147e+00 2.789567e+00)	2
0.00104931    	p_rgh         	7.932940e+04	(3.161625e+00 1.182383e+00 2.292815e+00)	2	1.370840e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.00127117    	p_rgh         	8.996462e+04	(2.803999e+00 1.777504e+00 2.782337e+00)	2	1.400681e+05	(3.245149e+00 1.271176e+00 2.309452e+00)	2
0.0015374     	p_rgh         	8.854510e+04	(2.803999e+00 1.777504e+00 2.782337e+00)	2	1.327712e+05	(-2.462052e+00 2.454883e+00 2.793656e+00)	2
0.00183763    	p_rgh         	8.832168e+04	(2.803908e+00 1.778009e+00 2.285864e+00)	2	1.380844e+05	(3.236688e+00 1.265132e+00 2.788735e+00)	2
0.00217299    	p_rgh         	8.538545e+04	(3.161625e+00 1.182383e+00 2.292815e+00)	2	1.540895e+05	(2.920138e+00 1.886509e+00 2.789961e+00)	2
0.00235937    	p_rgh         	8.055727e+04	(3.159848e+00 -1.178610e+00 2.785849e+00)	2	1.540625e+05	(2.830366e+00 -2.050908e+00 2.313719e+00)	2
0.00252344    	p_rgh         	7.998531e+04	(3.159848e+00 -1.178610e+00 2.785849e+00)	2	1.520049e+05	(2.830366e+00 -2.050908e+00 2.313719e+00)	2
0.00267362    	p_rgh         	8.768013e+04	(2.812678e+00 -1.297925e+00 2.783734e+00)	2	1.492169e+05	(2.830366e+00 -2.050908e+00 2.313719e+00)	2
0.00283744    	p_rgh         	8.793307e+04	(2.812678e+00 -1.297925e+00 2.783734e+00)	2	1.446196e+05	(2.830366e+00 -2.050908e+00 2.313719e+00)	2
0.00300159    	p_rgh         	8.818235e+04	(3.161625e+00 1.182383e+00 2.292815e+00)	2	1.385808e+05	(2.830366e+00 -2.050908e+00 2.313719e+00)	2
0.00315624    	p_rgh         	7.963888e+04	(3.161625e+00 1.182383e+00 2.292815e+00)	2	1.393281e+05	(3.410283e+00 -7.223881e-01 2.788658e+00)	2
0.00329319    	p_rgh         	7.482012e+04	(3.159860e+00 1.178645e+00 2.785843e+00)	2	1.392884e+05	(3.410283e+00 -7.223881e-01 2.788658e+00)	2
