# Region type : patch outlet
# Faces       : 248
# Area        : 3.740941e+01
# Scale factor: 1.000000e+00
# Time        	sum(phi)
1.2e-05       	-2.595605e-01
2.64e-05      	-2.641138e-01
4.368e-05     	-2.678145e-01
6.4416e-05    	-2.716850e-01
8.92992e-05   	-2.760802e-01
0.000119159   	-2.811670e-01
0.000154991   	-2.870546e-01
0.000197989   	-2.938283e-01
0.000249587   	-3.015525e-01
0.000311504   	-3.102641e-01
0.000385805   	-3.199631e-01
0.000474966   	-3.306103e-01
0.000581959   	-3.421452e-01
0.000710351   	-3.545461e-01
0.000864421   	-3.679592e-01
0.00104931    	-3.829226e-01
0.00127117    	-4.006609e-01
0.0015374     	-4.233616e-01
0.00185688    	-4.542902e-01
0.00224026    	-4.976231e-01
0.00270031    	-5.580533e-01
0.00307075    	-6.142232e-01
0.00341554    	-6.687283e-01
0.00369781    	-7.151890e-01
0.00388445    	-7.469692e-01
0.0040595     	-7.764622e-01
0.00421568    	-8.029601e-01
0.00435901    	-8.274564e-01
0.00450333    	-8.522878e-01
0.00465962    	-8.794057e-01
0.0048276     	-9.088197e-01
0.00500286    	-9.397437e-01
0.00514239    	-9.644063e-01
0.00527137    	-9.872927e-01
0.00541418    	-1.012810e+00
0.00557173    	-1.041086e+00
0.00573476    	-1.070397e+00
0.00590645    	-1.101355e+00
0.00605169    	-1.127382e+00
0.00616869    	-1.148252e+00
0.00627659    	-1.167615e+00
0.00638098    	-1.186450e+00
0.00648398    	-1.205110e+00
0.00658651    	-1.223747e+00
0.0066891     	-1.242453e+00
0.0067921     	-1.261294e+00
0.0068957     	-1.280307e+00
0.00700009    	-1.299540e+00
0.0071055     	-1.319039e+00
0.00721211    	-1.338849e+00
0.00732007    	-1.359011e+00
0.00742955    	-1.379564e+00
0.00754066    	-1.400546e+00
0.00765347    	-1.421980e+00
0.00776808    	-1.443897e+00
0.00788456    	-1.466327e+00
0.00800301    	-1.489301e+00
0.00812352    	-1.512849e+00
0.00824613    	-1.536988e+00
0.0083709     	-1.561739e+00
0.00849207    	-1.585817e+00
0.00861132    	-1.609669e+00
0.00869878    	-1.626458e+00
0.00878944    	-1.644650e+00
0.00886904    	-1.660487e+00
0.00894276    	-1.675263e+00
0.00901192    	-1.689219e+00
0.00907755    	-1.702536e+00
0.00914033    	-1.715338e+00
