# Field minima and maxima
# Time        	field         	min           	location(min) 	max           	location(max) 
1.2e-05       	p_rgh         	1.013252e+05	(1.764925e+00 -1.764946e+00 2.368997e-01)	1.286451e+05	(-3.478985e+00 2.481896e-01 2.784584e+00)
2.64e-05      	p_rgh         	1.013251e+05	(1.764925e+00 -1.764946e+00 2.368997e-01)	1.286454e+05	(-3.478985e+00 2.481896e-01 2.784584e+00)
4.368e-05     	p_rgh         	1.013249e+05	(1.764925e+00 -1.764946e+00 2.368997e-01)	1.286458e+05	(-3.478985e+00 2.481896e-01 2.784584e+00)
6.4416e-05    	p_rgh         	1.013247e+05	(1.764925e+00 -1.764946e+00 2.368997e-01)	1.286463e+05	(-3.478985e+00 2.481896e-01 2.784584e+00)
8.92992e-05   	p_rgh         	1.013243e+05	(-1.800707e+00 -1.800919e+00 7.313992e-01)	1.286468e+05	(-3.478985e+00 2.481896e-01 2.784584e+00)
0.000119159   	p_rgh         	1.013238e+05	(-1.800707e+00 -1.800919e+00 7.313992e-01)	1.286475e+05	(-3.478985e+00 2.481896e-01 2.784584e+00)
0.000154991   	p_rgh         	1.013231e+05	(-1.800707e+00 -1.800919e+00 7.313992e-01)	1.286482e+05	(-3.478985e+00 2.481896e-01 2.784584e+00)
0.000197989   	p_rgh         	1.013223e+05	(-1.800707e+00 -1.800919e+00 7.313992e-01)	1.286502e+05	(-3.236799e+00 -1.264315e+00 2.784005e+00)
0.000249587   	p_rgh         	1.013215e+05	(-1.800707e+00 -1.800919e+00 7.313992e-01)	1.286527e+05	(-3.236799e+00 -1.264315e+00 2.784005e+00)
0.000311504   	p_rgh         	1.013178e+05	(3.165676e+00 -1.180501e+00 2.279669e+00)	1.286555e+05	(-3.236799e+00 -1.264315e+00 2.784005e+00)
0.000385805   	p_rgh         	1.013123e+05	(3.165676e+00 -1.180501e+00 2.279669e+00)	1.286587e+05	(-3.236799e+00 -1.264315e+00 2.784005e+00)
0.000474966   	p_rgh         	1.013058e+05	(3.165676e+00 -1.180501e+00 2.279669e+00)	1.286620e+05	(-3.236799e+00 -1.264315e+00 2.784005e+00)
0.000581959   	p_rgh         	1.012985e+05	(3.165676e+00 -1.180501e+00 2.279669e+00)	1.286654e+05	(-3.236799e+00 -1.264315e+00 2.784005e+00)
0.000710351   	p_rgh         	1.012907e+05	(3.165676e+00 -1.180501e+00 2.279669e+00)	1.286686e+05	(-3.236799e+00 -1.264315e+00 2.784005e+00)
0.000864421   	p_rgh         	1.012832e+05	(3.159928e+00 -1.178245e+00 2.783100e+00)	1.286714e+05	(-3.236799e+00 -1.264315e+00 2.784005e+00)
0.00104931    	p_rgh         	1.012802e+05	(3.159928e+00 -1.178245e+00 2.783100e+00)	1.286732e+05	(-3.236799e+00 -1.264315e+00 2.784005e+00)
0.00127117    	p_rgh         	1.012859e+05	(3.243070e+00 -1.266873e+00 1.775159e+00)	1.286737e+05	(-3.236799e+00 -1.264315e+00 2.784005e+00)
0.0015374     	p_rgh         	1.010863e+05	(2.815120e+00 1.299634e+00 2.279427e+00)	1.288013e+05	(3.236746e+00 1.264517e+00 2.783825e+00)
0.00185688    	p_rgh         	1.008818e+05	(2.815120e+00 1.299634e+00 2.279427e+00)	1.290055e+05	(3.236746e+00 1.264517e+00 2.783825e+00)
0.00224026    	p_rgh         	1.007403e+05	(3.243070e+00 -1.266873e+00 1.775159e+00)	1.291827e+05	(3.236746e+00 1.264517e+00 2.783825e+00)
0.00270031    	p_rgh         	1.004450e+05	(3.243070e+00 -1.266873e+00 1.775159e+00)	1.291475e+05	(3.236746e+00 1.264517e+00 2.783825e+00)
0.00324448    	p_rgh         	1.000386e+05	(3.243070e+00 1.266873e+00 1.775159e+00)	1.291630e+05	(3.478872e+00 2.504677e-01 2.783512e+00)
0.00361091    	p_rgh         	9.607941e+04	(3.165662e+00 1.180496e+00 2.279667e+00)	1.289508e+05	(3.478872e+00 2.504677e-01 2.783512e+00)
0.00385422    	p_rgh         	9.244728e+04	(3.165662e+00 1.180496e+00 2.279667e+00)	1.290339e+05	(3.410744e+00 -7.203748e-01 2.784039e+00)
0.00404491    	p_rgh         	8.867495e+04	(3.165662e+00 1.180496e+00 2.279667e+00)	1.292899e+05	(3.410744e+00 -7.203748e-01 2.784039e+00)
0.00419949    	p_rgh         	8.409347e+04	(3.165662e+00 1.180496e+00 2.279667e+00)	1.294599e+05	(3.410744e+00 -7.203748e-01 2.784039e+00)
0.00432041    	p_rgh         	7.848100e+04	(3.165662e+00 1.180496e+00 2.279667e+00)	1.295761e+05	(3.416710e+00 7.216410e-01 2.279545e+00)
0.00441228    	p_rgh         	7.244626e+04	(3.165662e+00 1.180496e+00 2.279667e+00)	1.297083e+05	(3.416710e+00 -7.216410e-01 2.279545e+00)
0.00448497    	p_rgh         	6.634757e+04	(3.165662e+00 1.180496e+00 2.279667e+00)	1.297287e+05	(3.416710e+00 -7.216410e-01 2.279545e+00)
0.0045452     	p_rgh         	6.021936e+04	(3.165662e+00 1.180496e+00 2.279667e+00)	1.296779e+05	(3.416710e+00 -7.216410e-01 2.279545e+00)
0.00459657    	p_rgh         	5.380928e+04	(3.165662e+00 1.180496e+00 2.279667e+00)	1.303169e+05	(3.416710e+00 7.216410e-01 2.279545e+00)
0.00463946    	p_rgh         	4.730743e+04	(3.165662e+00 1.180496e+00 2.279667e+00)	1.316473e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00467506    	p_rgh         	4.102939e+04	(3.165662e+00 1.180496e+00 2.279667e+00)	1.345083e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00470513    	p_rgh         	3.527104e+04	(3.165662e+00 1.180496e+00 2.279667e+00)	1.370956e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00473236    	p_rgh         	2.983484e+04	(3.165662e+00 1.180496e+00 2.279667e+00)	1.395091e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.0047578     	p_rgh         	2.465737e+04	(3.165662e+00 1.180496e+00 2.279667e+00)	1.417953e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00478182    	p_rgh         	1.974195e+04	(3.165662e+00 1.180496e+00 2.279667e+00)	1.439657e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00480456    	p_rgh         	1.511216e+04	(3.165662e+00 1.180496e+00 2.279667e+00)	1.460128e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00482626    	p_rgh         	1.075477e+04	(3.165662e+00 1.180496e+00 2.279667e+00)	1.479369e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00484708    	p_rgh         	6.659112e+03	(3.165662e+00 1.180496e+00 2.279667e+00)	1.497265e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00486714    	p_rgh         	2.815816e+03	(3.165662e+00 1.180496e+00 2.279667e+00)	1.513562e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00488652    	p_rgh         	1.000045e+03	(3.165662e+00 1.180496e+00 2.279667e+00)	1.526708e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00490553    	p_rgh         	9.996204e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.537389e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00491435    	p_rgh         	9.995820e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.542592e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00492326    	p_rgh         	9.995382e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.548101e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00493126    	p_rgh         	9.995338e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.553244e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00493892    	p_rgh         	9.995161e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.558322e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00494634    	p_rgh         	9.995028e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.563367e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00495364    	p_rgh         	9.994864e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.568439e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00496091    	p_rgh         	9.994700e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.573558e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00496821    	p_rgh         	9.994520e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.578736e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00497557    	p_rgh         	9.994328e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.583975e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00498302    	p_rgh         	9.870059e+02	(3.165676e+00 -1.180501e+00 2.279669e+00)	1.589270e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00499057    	p_rgh         	9.993895e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.594609e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00499825    	p_rgh         	9.993649e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.599990e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00500606    	p_rgh         	9.993377e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.605461e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00501345    	p_rgh         	9.993098e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.610784e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00501922    	p_rgh         	9.992866e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.615144e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00502459    	p_rgh         	9.992651e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.619417e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00502966    	p_rgh         	9.992436e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.623668e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00503452    	p_rgh         	9.992216e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.627982e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00503926    	p_rgh         	9.991988e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.632409e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00504392    	p_rgh         	9.991750e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.636999e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00504853    	p_rgh         	9.991498e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.641789e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00505313    	p_rgh         	9.991229e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.646816e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00505774    	p_rgh         	9.990942e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.652109e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00506238    	p_rgh         	9.990631e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.657698e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00506706    	p_rgh         	9.990293e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.663610e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.0050718     	p_rgh         	9.989925e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.669870e+05	(3.481040e+00 2.494280e-01 2.279545e+00)
0.00507659    	p_rgh         	9.989520e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.681450e+05	(3.481040e+00 -2.494280e-01 2.279545e+00)
0.00508145    	p_rgh         	9.989073e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.700569e+05	(3.481040e+00 -2.494280e-01 2.279545e+00)
0.00508638    	p_rgh         	9.988577e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.719873e+05	(3.481040e+00 -2.494280e-01 2.279545e+00)
0.00509138    	p_rgh         	9.988023e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.739343e+05	(3.481040e+00 -2.494280e-01 2.279545e+00)
0.00509646    	p_rgh         	9.987400e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.758959e+05	(3.481040e+00 -2.494280e-01 2.279545e+00)
0.00510161    	p_rgh         	9.986692e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.778694e+05	(3.481040e+00 -2.494280e-01 2.279545e+00)
0.00510684    	p_rgh         	9.985882e+02	(3.165662e+00 1.180496e+00 2.279667e+00)	1.798518e+05	(3.481040e+00 -2.494280e-01 2.279545e+00)
0.00511215    	p_rgh         	9.993298e+02	(3.165676e+00 -1.180501e+00 2.279669e+00)	1.818400e+05	(3.481040e+00 -2.494280e-01 2.279545e+00)
0.00511753    	p_rgh         	9.992873e+02	(3.165676e+00 -1.180501e+00 2.279669e+00)	1.838304e+05	(3.481040e+00 -2.494280e-01 2.279545e+00)
0.00512297    	p_rgh         	9.992359e+02	(3.165676e+00 -1.180501e+00 2.279669e+00)	1.858196e+05	(3.481040e+00 -2.494280e-01 2.279545e+00)
0.00512848    	p_rgh         	9.991727e+02	(3.165676e+00 -1.180501e+00 2.279669e+00)	1.878040e+05	(3.481040e+00 -2.494280e-01 2.279545e+00)
0.00513406    	p_rgh         	9.990931e+02	(3.165676e+00 -1.180501e+00 2.279669e+00)	1.897805e+05	(3.481040e+00 -2.494280e-01 2.279545e+00)
0.00513969    	p_rgh         	9.989894e+02	(3.165676e+00 -1.180501e+00 2.279669e+00)	1.917462e+05	(3.481040e+00 -2.494280e-01 2.279545e+00)
0.00514537    	p_rgh         	9.988488e+02	(3.165676e+00 -1.180501e+00 2.279669e+00)	1.936983e+05	(3.481040e+00 -2.494280e-01 2.279545e+00)
0.00515109    	p_rgh         	9.986919e+02	(3.165676e+00 -1.180501e+00 2.279669e+00)	1.956354e+05	(3.481040e+00 -2.494280e-01 2.279545e+00)
0.00515685    	p_rgh         	1.078969e+03	(3.165676e+00 -1.180501e+00 2.279669e+00)	1.975585e+05	(3.481040e+00 -2.494280e-01 2.279545e+00)
0.00516263    	p_rgh         	1.247368e+03	(3.165676e+00 -1.180501e+00 2.279669e+00)	1.994746e+05	(3.481040e+00 -2.494280e-01 2.279545e+00)
0.00516842    	p_rgh         	1.498064e+03	(3.165676e+00 -1.180501e+00 2.279669e+00)	2.014173e+05	(3.481040e+00 -2.494280e-01 2.279545e+00)
0.00517418    	p_rgh         	1.771911e+03	(3.165676e+00 -1.180501e+00 2.279669e+00)	2.039692e+05	(3.481040e+00 -2.494280e-01 2.279545e+00)
0.00517947    	p_rgh         	2.120329e+03	(3.165676e+00 -1.180501e+00 2.279669e+00)	2.061022e+05	(3.481040e+00 -2.494280e-01 2.279545e+00)
0.00518491    	p_rgh         	2.413628e+03	(3.165662e+00 1.180496e+00 2.279667e+00)	2.082203e+05	(3.481040e+00 -2.494280e-01 2.279545e+00)
0.00519024    	p_rgh         	2.611962e+03	(3.165662e+00 1.180496e+00 2.279667e+00)	2.102369e+05	(3.481040e+00 -2.494280e-01 2.279545e+00)
0.00519556    	p_rgh         	2.822029e+03	(3.165662e+00 1.180496e+00 2.279667e+00)	2.121856e+05	(3.481040e+00 -2.494280e-01 2.279545e+00)
0.00520077    	p_rgh         	3.039496e+03	(3.165662e+00 1.180496e+00 2.279667e+00)	2.140350e+05	(3.481040e+00 -2.494280e-01 2.279545e+00)
